batch_variable	batch_value	subtype	n
TISSUE_SOURCE_SITE_CODE	18	LUSC	2
TISSUE_SOURCE_SITE_CODE	21	LUSC	4
TISSUE_SOURCE_SITE_CODE	22	LUSC	17
TISSUE_SOURCE_SITE_CODE	33	LUSC	11
TISSUE_SOURCE_SITE_CODE	34	LUSC	14
TISSUE_SOURCE_SITE_CODE	35	LUAD	1
TISSUE_SOURCE_SITE_CODE	37	LUSC	3
TISSUE_SOURCE_SITE_CODE	38	LUAD	2
TISSUE_SOURCE_SITE_CODE	39	LUSC	15
TISSUE_SOURCE_SITE_CODE	43	LUSC	12
TISSUE_SOURCE_SITE_CODE	44	LUAD	33
TISSUE_SOURCE_SITE_CODE	46	LUSC	2
TISSUE_SOURCE_SITE_CODE	49	LUAD	20
TISSUE_SOURCE_SITE_CODE	4B	LUAD	1
TISSUE_SOURCE_SITE_CODE	5	LUAD	10
TISSUE_SOURCE_SITE_CODE	50	LUAD	29
TISSUE_SOURCE_SITE_CODE	52	LUSC	3
TISSUE_SOURCE_SITE_CODE	53	LUAD	4
TISSUE_SOURCE_SITE_CODE	55	LUAD	21
TISSUE_SOURCE_SITE_CODE	56	LUSC	11
TISSUE_SOURCE_SITE_CODE	58	LUSC	10
TISSUE_SOURCE_SITE_CODE	60	LUSC	4
TISSUE_SOURCE_SITE_CODE	62	LUAD	9
TISSUE_SOURCE_SITE_CODE	63	LUSC	20
TISSUE_SOURCE_SITE_CODE	64	LUAD	7
TISSUE_SOURCE_SITE_CODE	67	LUAD	3
TISSUE_SOURCE_SITE_CODE	68	LUSC	4
TISSUE_SOURCE_SITE_CODE	69	LUAD	7
TISSUE_SOURCE_SITE_CODE	70	LUSC	2
TISSUE_SOURCE_SITE_CODE	71	LUAD	2
TISSUE_SOURCE_SITE_CODE	73	LUAD	5
TISSUE_SOURCE_SITE_CODE	75	LUAD	12
TISSUE_SOURCE_SITE_CODE	77	LUSC	22
TISSUE_SOURCE_SITE_CODE	78	LUAD	28
TISSUE_SOURCE_SITE_CODE	79	LUSC	1
