sample_id	subtype	layer	comp1	comp2
TCGA-05-4384-01	LUAD	mRNA	-5.175167365396167	1.0239647955249234
TCGA-05-4396-01	LUAD	mRNA	-4.934211509711587	2.4832389719057986
TCGA-05-4405-01	LUAD	mRNA	-5.188604338233875	1.0712459106315244
TCGA-05-4410-01	LUAD	mRNA	-4.792842289270129	-3.651821138671881
TCGA-05-4417-01	LUAD	mRNA	-4.370966137966954	0.48999587661231425
TCGA-05-4427-01	LUAD	mRNA	-3.760153047197992	1.0303798405221576
TCGA-05-5423-01	LUAD	mRNA	-6.996303474536311	-3.484525738835676
TCGA-05-5425-01	LUAD	mRNA	-3.924257562641064	-1.1829746949924402
TCGA-05-5429-01	LUAD	mRNA	-2.3521428209613138	2.2653950135376753
TCGA-05-5715-01	LUAD	mRNA	-5.74656789219552	1.1585525444382478
TCGA-35-5375-01	LUAD	mRNA	-1.0172939114468473	0.3953209664592083
TCGA-38-6178-01	LUAD	mRNA	-4.179685398149068	0.48148656630147824
TCGA-38-A44F-01	LUAD	mRNA	-3.5188946491523843	-1.711036289716313
TCGA-44-2656-01	LUAD	mRNA	-5.192366506901665	-2.7287805405449284
TCGA-44-2665-01	LUAD	mRNA	-3.666212975882829	-2.257099652028953
TCGA-44-2668-01	LUAD	mRNA	-1.9273134733161073	-1.4514372078461948
TCGA-44-3918-01	LUAD	mRNA	-3.9634960709393368	-3.6448625559420322
TCGA-44-4112-01	LUAD	mRNA	-4.521509423994455	-0.35160278611023943
TCGA-44-5643-01	LUAD	mRNA	5.843447740730034	0.478446891612904
TCGA-44-5644-01	LUAD	mRNA	-3.029866304570021	3.1887396742043785
TCGA-44-5645-01	LUAD	mRNA	-5.415134495138789	-2.9314846314773964
TCGA-44-6145-01	LUAD	mRNA	-3.341767514141398	-1.9187057128037164
TCGA-44-6146-01	LUAD	mRNA	-3.7200076098613826	2.202258740753027
TCGA-44-6148-01	LUAD	mRNA	-3.857932379812213	0.2521277949946441
TCGA-44-6774-01	LUAD	mRNA	-3.3823625218658613	0.7295418025813669
TCGA-44-6775-01	LUAD	mRNA	-4.2126567195818465	-1.2451257071728672
TCGA-44-6776-01	LUAD	mRNA	-7.4532956151563194	2.6583913698301043
TCGA-44-6777-01	LUAD	mRNA	-4.454840953639793	-5.364776683006278
