layer	component	feature	loading	abs_loading	selected	fold	model_label	integration	source
mRNA	1	PVRL1	0.2449063604954832	0.2449063604954832	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TRIM29	0.23259136941828934	0.23259136941828934	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	PERP	0.21016173675366612	0.21016173675366612	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TP63	0.2056776438101773	0.2056776438101773	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	PKP1	0.200445435154895	0.200445435154895	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	DSC3	0.19817735444544038	0.19817735444544038	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT5	0.19358946263519505	0.19358946263519505	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SLC6A8	0.18974232384408954	0.18974232384408954	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	PSMD2	0.17982225462213372	0.17982225462213372	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ATP1B3	0.1762478075727404	0.1762478075727404	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	JUP	0.1692669429377416	0.1692669429377416	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SLC2A1	0.1622967056742615	0.1622967056742615	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	DSG3	0.15538612828125978	0.15538612828125978	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	EIF4G1	0.1535355924530825	0.1535355924530825	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	MUC1	-0.15046899253643808	0.15046899253643808	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT6A	0.13876482036756488	0.13876482036756488	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GPC1	0.13120831818025097	0.13120831818025097	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TUBA1C	0.12663868051445068	0.12663868051445068	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CALML3	0.12614697698080354	0.12614697698080354	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	COL7A1	0.12611347701797107	0.12611347701797107	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	DST	0.12415924967737536	0.12415924967737536	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ABCC5	0.12358774670567362	0.12358774670567362	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD9	0.1235332517737342	0.1235332517737342	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	NTRK2	0.12331847035355849	0.12331847035355849	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD63	-0.1221692473901977	0.1221692473901977	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	DSP	0.12118796470500456	0.12118796470500456	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ITGA6	0.11415234221364609	0.11415234221364609	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ATP11A	-0.11360817111336159	0.11360817111336159	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SLC34A2	-0.11233614291712085	0.11233614291712085	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	MVP	-0.11044233577643646	0.11044233577643646	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	FSCN1	0.10897871575458216	0.10897871575458216	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SFN	0.10491001828668974	0.10491001828668974	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CLCA2	0.10422164291422195	0.10422164291422195	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	SGK1	0.09855463509011413	0.09855463509011413	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	DDR1	0.09750997672144962	0.09750997672144962	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CLSTN1	0.09727574267750631	0.09727574267750631	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	KRT17	0.092405809119645	0.092405809119645	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GAPDH	0.08850555513862277	0.08850555513862277	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	C1orf116	-0.08596532531751877	0.08596532531751877	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TPI1	0.08458841719889966	0.08458841719889966	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GPI	0.0844831595274117	0.0844831595274117	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	ABCC1	0.08287306137973346	0.08287306137973346	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	QSOX1.1	-0.08134775939191503	0.08134775939191503	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	NAPSA	-0.08126458865766988	0.08126458865766988	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TRAM1	-0.08080946323974135	0.08080946323974135	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	EIF4A2	0.07824083776450391	0.07824083776450391	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	RPL35A	0.07591560421828977	0.07591560421828977	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	TFRC	0.07510354918178759	0.07510354918178759	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GPR116	-0.0707977750124269	0.0707977750124269	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	GJA1	0.06934110282306337	0.06934110282306337	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CD46	-0.06881497973924965	0.06881497973924965	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CEACAM6	-0.06827139489875172	0.06827139489875172	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	CAPN2	-0.06413949034824959	0.06413949034824959	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
mRNA	1	MALL	-0.061535411287892264	0.061535411287892264	TRUE	NA	Final DIABLO multiblock sPLS-DA	DIABLO	full_data_final_model_for_interpretation_only
