layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
DNA methylation	1	ZHX2	5	0.22236010268982706	0.2028752271764897
DNA methylation	1	feature_58817	5	0.21738390634780247	0.1986323656698528
DNA methylation	1	RTP1.8	5	0.20602187704590372	0.19038060438413318
DNA methylation	1	PRKAR1B.114	5	0.1945931321278653	0.18707642253825543
DNA methylation	1	TBCD.110	5	0.19015153441445384	0.1896351996851595
DNA methylation	1	ST18.16	5	0.18660099016279869	0.18405550575090066
DNA methylation	1	feature_187008	5	0.18080991462254292	0.17250385383322042
DNA methylation	1	RNMTL1.7	5	0.17988391747017035	0.17395548871008124
DNA methylation	1	MIR205HG.2	5	0.17812846429346457	0.17190751393974346
DNA methylation	1	TP73.88	5	0.17635679486618522	0.1686723493920608
DNA methylation	1	ZNF750;TBCD.17	5	0.1714454124436856	0.17460499414114913
DNA methylation	1	SPSB1.35	5	0.17020172839937228	0.1671167046229833
DNA methylation	1	LIMA1.17	5	0.16281031266382054	0.15471284819807576
DNA methylation	1	MIR128-1;R3HDM1	5	0.15091501111774894	0.1506117953724122
DNA methylation	1	feature_282548	5	0.1496645577906728	0.1487812205661714
DNA methylation	1	ITPRIP.13	5	0.1408131770463833	0.1401289654571584
DNA methylation	1	C3orf34	5	0.14039953521004747	0.1415001352831712
DNA methylation	1	feature_362612	5	0.14027450163019317	0.14601854028934189
DNA methylation	1	CALML3.8	5	0.13858742136995472	0.1400883046951804
DNA methylation	1	feature_89067	5	0.1357386600747425	0.13285709956918118
DNA methylation	1	KIF26B.13	5	0.13170983723429208	0.13600953203217656
DNA methylation	1	TPM3;NUP210L	5	0.13016915430761455	0.13324004141308982
DNA methylation	1	feature_212134	5	0.12603344565675817	0.1320649500829869
DNA methylation	1	TRIP13.10	5	0.12350642792839692	0.12249627087578241
DNA methylation	1	CUGBP2.12	5	0.12288606818351118	0.12458855012513334
DNA methylation	1	CALML3.5	5	0.11942478680791012	0.12060304665120358
DNA methylation	1	KCNK7.1	5	0.1126998669860065	0.11711603042922374
DNA methylation	1	CSNK1D.5	5	0.11046685212739599	0.1233910651833093
DNA methylation	1	feature_6911	5	0.10782592140450202	0.11297792144831816
DNA methylation	1	CHST12.14	5	0.10404846048127792	0.09752038116780183
DNA methylation	1	TRIP13.5	5	0.09880974665181877	0.1026934676341949
DNA methylation	1	DEAF1.18	5	0.09514855675244646	0.10555543452826023
DNA methylation	1	feature_107122	5	0.09118507380110963	0.1052930886178058
DNA methylation	1	feature_312266	5	0.08220656873488238	0.09132767937101172
DNA methylation	1	RAB40C.27	5	0.08181802590855652	0.0837242183936885
DNA methylation	1	feature_344114	5	0.0763697374377761	0.08957457905991104
DNA methylation	1	TBCD.120	5	0.07495759325565356	0.08142350553585244
DNA methylation	1	TRIP13.9	5	0.0652377379958765	0.06946068845792715
DNA methylation	1	SEC14L1.13	5	0.06270576127660815	0.07515767648904302
DNA methylation	1	NUP210L.3	5	0.05884527981084741	0.070094239134859
DNA methylation	1	feature_223637	5	0.04904700009710021	0.07467851501606115
DNA methylation	1	AGAP1.169	5	0.049007245297717245	0.06850219200261196
DNA methylation	1	TP73.68	4	0.1826446109208433	0.17907819677560494
DNA methylation	1	feature_243982	4	0.10158245952637429	0.1093804796748192
DNA methylation	1	TRIP13.2	4	0.10128124686370614	0.10449331327583064
DNA methylation	1	ZDHHC1.9	4	0.08821286874201283	0.10155658996361659
DNA methylation	1	CHST12.16	4	0.07285722881784501	0.07296794318359046
DNA methylation	1	NKX2-1.13	4	0.0725903390030199	0.08347878661985497
DNA methylation	1	KCTD1.10	4	0.06758471045316483	0.07544595322872764
DNA methylation	1	feature_356923	4	0.06715745439555999	0.07411409457475454
DNA methylation	1	RAB40C.22	4	0.06553292897510767	0.06473466266546207
DNA methylation	1	feature_182338	3	0.12538320005211542	0.1317513234314538
DNA methylation	1	feature_283127	3	0.07945389624772778	0.08626208524131551
DNA methylation	1	ABCB1.2	3	0.07124673680675891	0.06797674185040398
DNA methylation	1	LRRC17;FBXL13.5	3	0.06966759856075744	0.07312562916607346
DNA methylation	1	feature_362935	3	0.06663148618008496	0.06737215362979879
DNA methylation	1	MAGI1.8	3	0.06318426896184069	0.062182714070209776
DNA methylation	1	C7orf20.43	3	0.05667146842024882	0.05385512225576438
DNA methylation	1	RAPGEFL1.15	3	0.05563591383886902	0.05064496597561365
DNA methylation	1	PTPRN2.398	3	0.05439552151525263	0.05629507185328216
DNA methylation	1	SH3PXD2A.26	3	0.05172949397444164	0.05069454285072468
DNA methylation	1	feature_67653	3	0.04977502496695081	0.047460827718851475
DNA methylation	1	KRT7.19	3	0.04665360077450595	0.047232271682534674
DNA methylation	1	GLI2.72	3	0.04534935512818382	0.04190729692074757
DNA methylation	1	SLCO1A2.2	3	0.04266902109650812	0.04804552356059501
DNA methylation	1	GAS1.5	3	0.04216005896340978	0.04411012366080895
DNA methylation	1	feature_176408	3	0.04133073351030819	0.04489893736964055
DNA methylation	1	SLITRK3.22	3	0.04068795607898659	0.044388490078821834
DNA methylation	1	RAPGEFL1.8	3	0.04066319561998464	0.03466711393225838
DNA methylation	1	feature_148794	3	0.03979126279505423	0.04002161450743289
DNA methylation	1	EDAR.1	3	0.03745464923885204	0.039274123094868704
DNA methylation	1	WDR37.26	3	0.03566822669746558	0.03901218830493592
DNA methylation	1	feature_198027	3	0.03498956175743424	0.02854133378163152
DNA methylation	1	GPR37L1.7	3	0.03477265719418411	0.039593027048720274
DNA methylation	1	ABLIM2.64	3	0.03399859425541735	0.03409340799014317
DNA methylation	1	ACHE.1	3	0.028399026922983676	0.02980176304785201
DNA methylation	1	RUNX3.53	3	0.02802215468828012	0.032549089273940963
DNA methylation	1	SDK2.13	3	0.020991682988715035	0.02041599065128258
DNA methylation	1	AGAP1.47	3	0.01741232466429202	0.011733733940822383
DNA methylation	1	feature_29331	3	0.016595708995981593	0.013991805305816106
DNA methylation	1	ANGPT1.17	3	0.015767816629183674	0.01683222973380044
DNA methylation	1	feature_207128	3	0.013094973112308016	0.013028041114362886
DNA methylation	1	feature_168488	3	0.00919799863053097	0.009976805225530525
DNA methylation	1	KCNT1.47	3	0.008628876958742548	0.011386229042045724
DNA methylation	1	MYLK.1	2	0.1623866236930478	0.1623866236930478
DNA methylation	1	feature_277469	2	0.07421292777689964	0.07421292777689964
DNA methylation	1	MIR205HG;MIR205.2	2	0.06848213271464512	0.06848213271464512
DNA methylation	1	FRMD6.23	2	0.06811425890620254	0.06811425890620254
DNA methylation	1	CASC2.5	2	0.03656349101527232	0.03656349101527232
DNA methylation	1	feature_51157	2	0.022920071784926267	0.022920071784926267
DNA methylation	1	WWOX.12	2	0.0173477110179586	0.0173477110179586
