layer	original_feature	fused_feature	selected_in_folds	mean_abs_coefficient	mean_coefficient
DNA methylation	HOXA3.19	METH__HOXA3.19	5	0.28199817268791705	0.28199817268791705
mRNA	IRF6	mRNA__IRF6	5	0.27146284831900475	0.27146284831900475
DNA methylation	PREX1.11	METH__PREX1.11	5	0.270646977647291	-0.270646977647291
DNA methylation	SLC22A20.9	METH__SLC22A20.9	5	0.15265437032095827	-0.15265437032095827
mRNA	SAE1	mRNA__SAE1	5	0.14211489887585046	0.14211489887585046
RPPA	MYH9|Myosin-IIa-pS1943	RPPA__MYH9|Myosin-IIa-pS1943	5	0.1406143457182507	0.1406143457182507
DNA methylation	feature_101660	METH__feature_101660	5	0.13632015974625566	0.13632015974625566
DNA methylation	feature_4000	METH__feature_4000	5	0.09031861161613661	-0.09031861161613661
RPPA	GSK3A GSK3B|GSK3-alpha-beta	RPPA__GSK3A GSK3B|GSK3-alpha-beta	5	0.08801571935692154	0.08801571935692154
mRNA	PRPF19	mRNA__PRPF19	5	0.07849893786765338	0.07849893786765338
DNA methylation	GLI3.64	METH__GLI3.64	5	0.07795470924790751	-0.07795470924790751
mRNA	MT1X	mRNA__MT1X	5	0.07442493258464779	0.07442493258464779
mRNA	LMO7	mRNA__LMO7	5	0.0698952612665942	-0.0698952612665942
mRNA	CD2AP	mRNA__CD2AP	5	0.0644969768628344	-0.0644969768628344
mRNA	UNC93B1	mRNA__UNC93B1	5	0.06230980810219199	-0.06230980810219199
mRNA	LIMK2	mRNA__LIMK2	4	0.1822079628515291	0.1822079628515291
DNA methylation	SH3PXD2A.26	METH__SH3PXD2A.26	4	0.13653732448587771	-0.13653732448587771
DNA methylation	feature_353941	METH__feature_353941	4	0.1347073757061319	0.1347073757061319
DNA methylation	MYO10.54	METH__MYO10.54	4	0.13446464593244517	0.13446464593244517
DNA methylation	RIPK4.4	METH__RIPK4.4	4	0.12593799576485193	-0.12593799576485193
DNA methylation	DIRC3.41	METH__DIRC3.41	4	0.12013387758663643	-0.12013387758663643
DNA methylation	TRPC5.1	METH__TRPC5.1	4	0.11602263742791506	0.11602263742791506
mRNA	TK1	mRNA__TK1	4	0.11461007784791764	0.11461007784791764
mRNA	ALPK3	mRNA__ALPK3	4	0.1096724485752761	-0.1096724485752761
DNA methylation	SNX10.1	METH__SNX10.1	4	0.0947012095231145	0.0947012095231145
DNA methylation	ITPRIP.20	METH__ITPRIP.20	4	0.09023895751255073	-0.09023895751255073
mRNA	RBM47	mRNA__RBM47	4	0.08982023052287791	-0.08982023052287791
DNA methylation	ZNF750;TBCD.17	METH__ZNF750;TBCD.17	4	0.0885768117875567	-0.0885768117875567
mRNA	AKT2	mRNA__AKT2	4	0.08683893527129602	0.08683893527129602
mRNA	GUSB	mRNA__GUSB	4	0.07687016730336353	-0.07687016730336353
DNA methylation	RIMS2.23	METH__RIMS2.23	4	0.07657406720599215	-0.07657406720599215
DNA methylation	feature_77790	METH__feature_77790	4	0.07363000454675828	0.07363000454675828
mRNA	FABP7	mRNA__FABP7	4	0.07169547906370936	-0.07169547906370936
DNA methylation	JDP2.1	METH__JDP2.1	4	0.06637993395020661	0.06637993395020661
mRNA	HS6ST1	mRNA__HS6ST1	4	0.06610090196311279	0.06610090196311279
DNA methylation	GAL3ST2.12	METH__GAL3ST2.12	4	0.060227777230460744	-0.060227777230460744
DNA methylation	PPYR1	METH__PPYR1	4	0.059568297588461515	-0.059568297588461515
mRNA	MYBPC1	mRNA__MYBPC1	4	0.058576955098267436	-0.058576955098267436
mRNA	CXCR4	mRNA__CXCR4	4	0.05848012585561049	0.05848012585561049
mRNA	POM121	mRNA__POM121	4	0.05724634954790681	0.05724634954790681
