fused_feature	coefficient	layer	original_feature	abs_coefficient	fold	model_label	model	integration
mRNA__IRF6	0.24794637368357217	mRNA	IRF6	0.24794637368357217	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__PREX1.11	-0.21908064167783525	DNA methylation	PREX1.11	0.21908064167783525	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__TPM3;NUP210L	0.1805969954179685	DNA methylation	TPM3;NUP210L	0.1805969954179685	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__HOXA3.19	0.16779244108754093	DNA methylation	HOXA3.19	0.16779244108754093	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__ZNF750;TBCD.17	-0.1593926090730552	DNA methylation	ZNF750;TBCD.17	0.1593926090730552	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__RBM47	-0.14888547773195612	mRNA	RBM47	0.14888547773195612	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__ANK1.68	-0.1282177791512476	DNA methylation	ANK1.68	0.1282177791512476	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__ITPRIP.20	-0.11753477046799807	DNA methylation	ITPRIP.20	0.11753477046799807	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__PPYR1	-0.11491224769043666	DNA methylation	PPYR1	0.11491224769043666	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__LIMK2	0.11105924400433922	mRNA	LIMK2	0.11105924400433922	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__feature_211190	0.11077074525841929	DNA methylation	feature_211190	0.11077074525841929	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__ITPRIP.13	-0.10310527169901057	DNA methylation	ITPRIP.13	0.10310527169901057	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__feature_4000	-0.09969972685622402	DNA methylation	feature_4000	0.09969972685622402	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__EBF3.143	-0.09893218729314893	DNA methylation	EBF3.143	0.09893218729314893	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__SAE1	0.09357780646074954	mRNA	SAE1	0.09357780646074954	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__SLC22A20.9	-0.0906559975067392	DNA methylation	SLC22A20.9	0.0906559975067392	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__CPAMD8.14	-0.08905847964037943	DNA methylation	CPAMD8.14	0.08905847964037943	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__feature_101660	0.07625908296490158	DNA methylation	feature_101660	0.07625908296490158	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__TP73.68	-0.07212892925472723	DNA methylation	TP73.68	0.07212892925472723	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__RANGAP1	0.07124246830674977	mRNA	RANGAP1	0.07124246830674977	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__feature_67285	-0.06948052431811293	DNA methylation	feature_67285	0.06948052431811293	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__PRMT1	0.0659638431800222	mRNA	PRMT1	0.0659638431800222	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__MT1X	0.06572409845904227	mRNA	MT1X	0.06572409845904227	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__PAK1.6	-0.06287348096682453	DNA methylation	PAK1.6	0.06287348096682453	1	Early fusion + Elastic Net	Elastic Net	Early fusion
mRNA__PVRL1	0.05906441640676874	mRNA	PVRL1	0.05906441640676874	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__MIR205HG.2	-0.0587319521423494	DNA methylation	MIR205HG.2	0.0587319521423494	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__TMED6.6	0.057715719932799996	DNA methylation	TMED6.6	0.057715719932799996	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__EXT1.37	0.05656471166195698	DNA methylation	EXT1.37	0.05656471166195698	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__TP73.88	-0.055542693655366564	DNA methylation	TP73.88	0.055542693655366564	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__FOXK1.120	0.0553966187948836	DNA methylation	FOXK1.120	0.0553966187948836	1	Early fusion + Elastic Net	Elastic Net	Early fusion
METH__feature_257669	-0.05415846826187275	DNA methylation	feature_257669	0.05415846826187275	1	Early fusion + Elastic Net	Elastic Net	Early fusion
