fused_feature	layer	original_feature	fold
mRNA__SFTPB	mRNA	SFTPB	1
mRNA__ADAM6	mRNA	ADAM6	1
mRNA__SFTPA2	mRNA	SFTPA2	1
mRNA__PGC	mRNA	PGC	1
mRNA__FN1	mRNA	FN1	1
mRNA__COL1A1	mRNA	COL1A1	1
mRNA__BMS1P20	mRNA	BMS1P20	1
mRNA__KRT5	mRNA	KRT5	1
mRNA__H19	mRNA	H19	1
mRNA__GAPDH	mRNA	GAPDH	1
mRNA__KRT6A	mRNA	KRT6A	1
mRNA__FTL	mRNA	FTL	1
mRNA__COL3A1	mRNA	COL3A1	1
mRNA__KRT17	mRNA	KRT17	1
mRNA__CD74	mRNA	CD74	1
mRNA__SCGB3A1	mRNA	SCGB3A1	1
mRNA__SFTPA1	mRNA	SFTPA1	1
mRNA__COL1A2	mRNA	COL1A2	1
mRNA__SFTPC	mRNA	SFTPC	1
mRNA__ACTB	mRNA	ACTB	1
mRNA__MUC5B	mRNA	MUC5B	1
mRNA__S100A9	mRNA	S100A9	1
mRNA__KRT14	mRNA	KRT14	1
mRNA__B2M	mRNA	B2M	1
mRNA__CEACAM6	mRNA	CEACAM6	1
mRNA__CD24	mRNA	CD24	1
mRNA__FGA	mRNA	FGA	1
mRNA__TPT1	mRNA	TPT1	1
mRNA__CEACAM5	mRNA	CEACAM5	1
mRNA__EEF1A1	mRNA	EEF1A1	1
mRNA__SLC34A2	mRNA	SLC34A2	1
mRNA__FGG	mRNA	FGG	1
mRNA__GPNMB	mRNA	GPNMB	1
mRNA__HLA-B	mRNA	HLA-B	1
mRNA__NDRG1	mRNA	NDRG1	1
mRNA__TMSL3	mRNA	TMSL3	1
mRNA__NAPSA	mRNA	NAPSA	1
mRNA__ACTG1	mRNA	ACTG1	1
mRNA__CALCA	mRNA	CALCA	1
mRNA__PLUNC	mRNA	PLUNC	1
mRNA__KRT13	mRNA	KRT13	1
mRNA__AKR1C1	mRNA	AKR1C1	1
mRNA__KRT15	mRNA	KRT15	1
mRNA__FTH1	mRNA	FTH1	1
mRNA__HLA-DRA	mRNA	HLA-DRA	1
mRNA__SPARC	mRNA	SPARC	1
mRNA__PIGR	mRNA	PIGR	1
mRNA__KRT19	mRNA	KRT19	1
mRNA__C3	mRNA	C3	1
mRNA__S100A6	mRNA	S100A6	1
mRNA__CTSB	mRNA	CTSB	1
mRNA__FGB	mRNA	FGB	1
mRNA__CTSD	mRNA	CTSD	1
mRNA__RPS18	mRNA	RPS18	1
mRNA__HLA-A	mRNA	HLA-A	1
mRNA__NTS	mRNA	NTS	1
mRNA__SPP1	mRNA	SPP1	1
mRNA__KRT16	mRNA	KRT16	1
mRNA__LUM	mRNA	LUM	1
mRNA__RPS6	mRNA	RPS6	1
mRNA__S100A8	mRNA	S100A8	1
mRNA__SERPINA1	mRNA	SERPINA1	1
mRNA__AKR1C2	mRNA	AKR1C2	1
mRNA__SCGB3A2	mRNA	SCGB3A2	1
mRNA__RPL8	mRNA	RPL8	1
mRNA__KRT6B	mRNA	KRT6B	1
mRNA__CES1	mRNA	CES1	1
mRNA__ENO1	mRNA	ENO1	1
mRNA__PABPC1	mRNA	PABPC1	1
mRNA__PSAP	mRNA	PSAP	1
mRNA__HLA-C	mRNA	HLA-C	1
mRNA__A2M	mRNA	A2M	1
mRNA__S100A2	mRNA	S100A2	1
mRNA__LYZ	mRNA	LYZ	1
mRNA__IGFBP5	mRNA	IGFBP5	1
mRNA__MSLN	mRNA	MSLN	1
mRNA__PERP	mRNA	PERP	1
mRNA__SLPI	mRNA	SLPI	1
mRNA__EEF2	mRNA	EEF2	1
mRNA__LAMP1	mRNA	LAMP1	1
mRNA__IGFBP2	mRNA	IGFBP2	1
mRNA__CPM	mRNA	CPM	1
mRNA__TMSB10	mRNA	TMSB10	1
mRNA__PKM2	mRNA	PKM2	1
mRNA__ALDOA	mRNA	ALDOA	1
mRNA__IGFBP3	mRNA	IGFBP3	1
mRNA__COL6A3	mRNA	COL6A3	1
mRNA__KRT8	mRNA	KRT8	1
mRNA__MUC1	mRNA	MUC1	1
mRNA__ERBB2	mRNA	ERBB2	1
mRNA__LPCAT1	mRNA	LPCAT1	1
mRNA__LAMC2	mRNA	LAMC2	1
mRNA__PKP1	mRNA	PKP1	1
mRNA__SLC2A1	mRNA	SLC2A1	1
mRNA__DSP	mRNA	DSP	1
mRNA__HSP90AB1	mRNA	HSP90AB1	1
mRNA__TFRC	mRNA	TFRC	1
mRNA__MUC6	mRNA	MUC6	1
mRNA__CLU	mRNA	CLU	1
mRNA__VIM	mRNA	VIM	1
mRNA__RPLP1	mRNA	RPLP1	1
mRNA__ODC1	mRNA	ODC1	1
mRNA__FLNA	mRNA	FLNA	1
