layer	PC	percent_variance
mRNA	PC1	11.23
mRNA	PC2	5.95
mRNA	PC3	4.67
mRNA	PC4	3.17
mRNA	PC5	2.9
mRNA	PC6	2.38
mRNA	PC7	2.13
mRNA	PC8	1.87
mRNA	PC9	1.64
mRNA	PC10	1.56
mRNA	PC11	1.34
mRNA	PC12	1.2
mRNA	PC13	1.11
mRNA	PC14	1.07
mRNA	PC15	0.95
mRNA	PC16	0.9
mRNA	PC17	0.85
mRNA	PC18	0.76
mRNA	PC19	0.75
mRNA	PC20	0.71
mRNA	PC21	0.69
mRNA	PC22	0.62
mRNA	PC23	0.61
mRNA	PC24	0.6
mRNA	PC25	0.58
mRNA	PC26	0.56
mRNA	PC27	0.55
mRNA	PC28	0.54
mRNA	PC29	0.52
mRNA	PC30	0.51
mRNA	PC31	0.49
mRNA	PC32	0.48
mRNA	PC33	0.47
mRNA	PC34	0.46
mRNA	PC35	0.45
mRNA	PC36	0.44
mRNA	PC37	0.43
mRNA	PC38	0.42
mRNA	PC39	0.41
mRNA	PC40	0.4
mRNA	PC41	0.4
mRNA	PC42	0.39
mRNA	PC43	0.38
mRNA	PC44	0.37
mRNA	PC45	0.37
mRNA	PC46	0.36
mRNA	PC47	0.35
mRNA	PC48	0.35
mRNA	PC49	0.34
mRNA	PC50	0.34
mRNA	PC51	0.33
mRNA	PC52	0.33
mRNA	PC53	0.32
mRNA	PC54	0.32
mRNA	PC55	0.32
mRNA	PC56	0.31
mRNA	PC57	0.3
mRNA	PC58	0.3
mRNA	PC59	0.3
mRNA	PC60	0.29
mRNA	PC61	0.29
mRNA	PC62	0.28
mRNA	PC63	0.28
mRNA	PC64	0.28
mRNA	PC65	0.28
mRNA	PC66	0.27
mRNA	PC67	0.27
mRNA	PC68	0.27
mRNA	PC69	0.26
mRNA	PC70	0.26
mRNA	PC71	0.26
mRNA	PC72	0.25
mRNA	PC73	0.25
mRNA	PC74	0.25
mRNA	PC75	0.24
mRNA	PC76	0.24
mRNA	PC77	0.24
mRNA	PC78	0.24
mRNA	PC79	0.23
mRNA	PC80	0.23
mRNA	PC81	0.23
mRNA	PC82	0.23
mRNA	PC83	0.22
mRNA	PC84	0.22
mRNA	PC85	0.22
mRNA	PC86	0.22
mRNA	PC87	0.21
mRNA	PC88	0.21
mRNA	PC89	0.21
mRNA	PC90	0.21
mRNA	PC91	0.21
mRNA	PC92	0.2
mRNA	PC93	0.2
mRNA	PC94	0.2
mRNA	PC95	0.2
mRNA	PC96	0.2
mRNA	PC97	0.2
mRNA	PC98	0.19
mRNA	PC99	0.19
mRNA	PC100	0.19
mRNA	PC101	0.19
mRNA	PC102	0.19
mRNA	PC103	0.18
mRNA	PC104	0.18
mRNA	PC105	0.18
mRNA	PC106	0.18
mRNA	PC107	0.18
mRNA	PC108	0.18
mRNA	PC109	0.18
mRNA	PC110	0.17
mRNA	PC111	0.17
mRNA	PC112	0.17
mRNA	PC113	0.17
mRNA	PC114	0.17
mRNA	PC115	0.16
mRNA	PC116	0.16
mRNA	PC117	0.16
mRNA	PC118	0.16
mRNA	PC119	0.16
mRNA	PC120	0.16
mRNA	PC121	0.16
mRNA	PC122	0.16
mRNA	PC123	0.15
mRNA	PC124	0.15
mRNA	PC125	0.15
mRNA	PC126	0.15
mRNA	PC127	0.15
mRNA	PC128	0.15
mRNA	PC129	0.15
mRNA	PC130	0.15
mRNA	PC131	0.15
mRNA	PC132	0.15
mRNA	PC133	0.14
mRNA	PC134	0.14
mRNA	PC135	0.14
mRNA	PC136	0.14
mRNA	PC137	0.14
mRNA	PC138	0.14
mRNA	PC139	0.14
mRNA	PC140	0.14
mRNA	PC141	0.14
mRNA	PC142	0.13
mRNA	PC143	0.13
mRNA	PC144	0.13
mRNA	PC145	0.13
mRNA	PC146	0.13
mRNA	PC147	0.13
mRNA	PC148	0.13
mRNA	PC149	0.13
mRNA	PC150	0.13
mRNA	PC151	0.13
mRNA	PC152	0.12
mRNA	PC153	0.12
mRNA	PC154	0.12
mRNA	PC155	0.12
mRNA	PC156	0.12
mRNA	PC157	0.12
mRNA	PC158	0.12
mRNA	PC159	0.12
mRNA	PC160	0.12
mRNA	PC161	0.12
mRNA	PC162	0.12
mRNA	PC163	0.12
mRNA	PC164	0.12
mRNA	PC165	0.12
mRNA	PC166	0.11
mRNA	PC167	0.11
mRNA	PC168	0.11
mRNA	PC169	0.11
mRNA	PC170	0.11
mRNA	PC171	0.11
mRNA	PC172	0.11
