sample_id	layer	sample_mean	sample_sd	sample_missing_percent	subtype
TCGA-05-4384-01	mRNA	2909.7488448	8170.629336457104	0	LUAD
TCGA-05-4396-01	mRNA	3049.82342746	11032.778559928454	0	LUAD
TCGA-05-4405-01	mRNA	2847.64386642	6769.581611910046	0	LUAD
TCGA-05-4410-01	mRNA	2891.02502918	9003.490211030214	0	LUAD
TCGA-05-4417-01	mRNA	3363.11536222	13818.45865009919	0	LUAD
TCGA-05-4427-01	mRNA	2751.55835796	5713.42169122354	0	LUAD
TCGA-05-5423-01	mRNA	3407.25304462	12451.068737887366	0	LUAD
TCGA-05-5425-01	mRNA	3278.26402642	7606.9229512469465	0	LUAD
TCGA-05-5429-01	mRNA	3451.9560412	8958.198081829178	0	LUAD
TCGA-05-5715-01	mRNA	3317.9884606	10235.829555110706	0	LUAD
TCGA-35-5375-01	mRNA	4049.16634704	13785.800353322391	0	LUAD
TCGA-38-6178-01	mRNA	2803.434508	5313.563464031946	0	LUAD
TCGA-38-A44F-01	mRNA	2997.29572474	7917.120811253508	0	LUAD
TCGA-44-2656-01	mRNA	3253.754261	10066.852533641	0	LUAD
TCGA-44-2665-01	mRNA	3196.72215234	8134.56857519572	0	LUAD
TCGA-44-2668-01	mRNA	3383.0956051	8218.960028569181	0	LUAD
TCGA-44-3918-01	mRNA	3261.20657208	9099.324472228125	0	LUAD
TCGA-44-4112-01	mRNA	3152.5741413	7144.809051575677	0	LUAD
TCGA-44-5643-01	mRNA	2999.25671448	7301.200177827016	0	LUAD
TCGA-44-5644-01	mRNA	2733.94181064	7118.543480642024	0	LUAD
TCGA-44-5645-01	mRNA	2912.2450527	9854.878193445458	0	LUAD
TCGA-44-6145-01	mRNA	3204.17557012	8942.242804425607	0	LUAD
TCGA-44-6146-01	mRNA	3023.61962422	6744.132614336148	0	LUAD
TCGA-44-6148-01	mRNA	2829.69236344	8061.804727201943	0	LUAD
TCGA-44-6774-01	mRNA	3529.43774204	16763.320805625543	0	LUAD
TCGA-44-6775-01	mRNA	2955.23383906	7700.321905670342	0	LUAD
TCGA-44-6776-01	mRNA	3447.00750416	19365.904656162547	0	LUAD
TCGA-44-6777-01	mRNA	3767.83321872	15794.697772268946	0	LUAD
TCGA-44-6778-01	mRNA	2765.21405958	6807.113504278871	0	LUAD
TCGA-44-6779-01	mRNA	3130.71766616	7302.139104583587	0	LUAD
TCGA-44-7659-01	mRNA	3082.9037601000005	17270.007871734368	0	LUAD
TCGA-44-7660-01	mRNA	3025.46753694	6795.246875610674	0	LUAD
TCGA-44-7661-01	mRNA	3188.3913008	7741.985800722356	0	LUAD
TCGA-44-7662-01	mRNA	3160.63708562	9954.069523942479	0	LUAD
TCGA-44-7667-01	mRNA	2884.71109548	6555.582076331065	0	LUAD
TCGA-44-7669-01	mRNA	2713.9402152400003	4764.5268938968	0	LUAD
TCGA-44-7670-01	mRNA	2958.2549476	7604.992468776783	0	LUAD
TCGA-44-7671-01	mRNA	3492.31099142	13447.414122566055	0	LUAD
TCGA-44-7672-01	mRNA	3403.8163620799996	13399.248620406146	0	LUAD
TCGA-44-8117-01	mRNA	3136.38758564	7901.305309034354	0	LUAD
TCGA-44-8119-01	mRNA	3473.87945278	10997.35562737077	0	LUAD
TCGA-44-A479-01	mRNA	2882.92735252	11146.55749525595	0	LUAD
TCGA-44-A47A-01	mRNA	3095.08643428	8660.921423181839	0	LUAD
TCGA-44-A47G-01	mRNA	3177.61272738	10613.255195016982	0	LUAD
TCGA-44-A4SS-01	mRNA	3013.111922	7317.358574878529	0	LUAD
TCGA-44-A4SU-01	mRNA	2653.52047954	5456.287128085302	0	LUAD
TCGA-49-4487-01	mRNA	3120.2045988200002	7791.000715461321	0	LUAD
TCGA-49-4488-01	mRNA	3141.50302064	6959.644880799419	0	LUAD
TCGA-49-4512-01	mRNA	3171.2121292	9057.376807651468	0	LUAD
TCGA-49-4514-01	mRNA	3277.15024762	8165.479860528339	0	LUAD
TCGA-49-6742-01	mRNA	2983.62512656	5804.328949252946	0	LUAD
TCGA-49-6743-01	mRNA	2959.48048654	6335.788006783501	0	LUAD
TCGA-49-6744-01	mRNA	3061.57140522	8508.75031453531	0	LUAD
TCGA-49-6745-01	mRNA	3117.81702102	7965.715947488971	0	LUAD
TCGA-49-6761-01	mRNA	3110.71706354	7662.745781050417	0	LUAD
TCGA-49-6767-01	mRNA	2904.33860958	6068.594072671319	0	LUAD
TCGA-49-AAQV-01	mRNA	2838.37204814	5463.433980492789	0	LUAD
TCGA-49-AAR0-01	mRNA	3285.7403398	8746.121967442146	0	LUAD
TCGA-49-AAR2-01	mRNA	3406.80230328	18456.522938503313	0	LUAD
TCGA-49-AAR3-01	mRNA	2920.98763544	7392.974128226298	0	LUAD
TCGA-49-AAR4-01	mRNA	2869.8915617	8338.05052861712	0	LUAD
TCGA-49-AAR9-01	mRNA	3328.25520062	8459.388208878343	0	LUAD
TCGA-49-AARE-01	mRNA	3309.54887272	10430.751541134407	0	LUAD
TCGA-49-AARN-01	mRNA	2885.5717425	6577.335428766979	0	LUAD
TCGA-49-AARO-01	mRNA	2977.91966144	6784.190764902652	0	LUAD
TCGA-49-AARR-01	mRNA	2807.7437509	7439.911407848782	0	LUAD
TCGA-4B-A93V-01	mRNA	3286.61520782	10178.929259115976	0	LUAD
TCGA-50-5044-01	mRNA	3862.09742614	11155.007708001982	0	LUAD
TCGA-50-5045-01	mRNA	3537.91511778	9991.540803368855	0	LUAD
TCGA-50-5049-01	mRNA	3315.41718534	11109.443274420093	0	LUAD
TCGA-50-5051-01	mRNA	3167.17430186	13637.771741418308	0	LUAD
TCGA-50-5066-01	mRNA	3981.38998744	14292.634823164184	0	LUAD
TCGA-50-5068-01	mRNA	3681.52937048	12005.540206391455	0	LUAD
