layer	value
mRNA	0
mRNA	533.247
mRNA	112.076
mRNA	7.4074
mRNA	1807.37
mRNA	327.266
mRNA	34.4143
mRNA	0
mRNA	538.336
mRNA	376.912
mRNA	597.516
mRNA	79.9034
mRNA	216.182
mRNA	0
mRNA	12.7566
mRNA	0
mRNA	0
mRNA	177.313
mRNA	1641.99
mRNA	19.5284
mRNA	821.518
mRNA	240.714
mRNA	41.966
mRNA	757.766
mRNA	1940.64
mRNA	0
mRNA	6.6061
mRNA	0
mRNA	42.875
mRNA	584.623
mRNA	0
mRNA	164.011
mRNA	1.7102
mRNA	170.968
mRNA	393.511
mRNA	9.3125
mRNA	889.526000000001
mRNA	0
mRNA	1399.65
mRNA	0
mRNA	705.353
mRNA	35.6989
mRNA	213.169
mRNA	5.7554
mRNA	0
mRNA	7433.14
mRNA	366.46
mRNA	4544.78
mRNA	12016.5
mRNA	1387.58
mRNA	2385.38
mRNA	396.613
mRNA	1498.74
mRNA	141.026
mRNA	36.7466
mRNA	12.721
mRNA	97.2545
mRNA	366.451
mRNA	1513.58
mRNA	102.907
mRNA	799.524
mRNA	502.292
mRNA	0
mRNA	70.2164
mRNA	1001.74
mRNA	1032.86
mRNA	0
mRNA	0
mRNA	194.889
mRNA	997.123
mRNA	743.289
mRNA	1027.44
mRNA	117.678
mRNA	127.544
mRNA	57.383
mRNA	352.652
mRNA	1012.58
mRNA	958.259
mRNA	0
mRNA	2271.48
mRNA	1201.42
mRNA	1111.3
mRNA	3.6714
mRNA	271.093
mRNA	12.6337
mRNA	9.0131
mRNA	3.0742
mRNA	51.4399
mRNA	2.9155
mRNA	0
mRNA	559.631
mRNA	1323.64
mRNA	1277.04
mRNA	1.4171
mRNA	375.178
mRNA	0
mRNA	571.912
mRNA	0
mRNA	13.6861
mRNA	613.411
mRNA	242.779
mRNA	1518.78
mRNA	13802.1
mRNA	185.623
mRNA	239.955
mRNA	0
mRNA	665.695
mRNA	0
mRNA	1122.34
mRNA	212.828
mRNA	14.0187
mRNA	118.362
mRNA	975.893999999999
mRNA	745.902
mRNA	713.993
mRNA	3.4722
mRNA	468.042
mRNA	288.941
mRNA	879.780999999999
mRNA	609.722
mRNA	0.4953
mRNA	818.262
mRNA	2710.29
mRNA	1465.92
mRNA	643.04
mRNA	671.22
mRNA	2670.78
mRNA	778.359
mRNA	10.0769
mRNA	2127.9
mRNA	864.834
mRNA	1859.02
mRNA	4.8333
mRNA	634.52
mRNA	6.7114
mRNA	182.991
mRNA	130
mRNA	0
mRNA	432.896
mRNA	9.2681
mRNA	0
mRNA	2.2758
mRNA	50.2341
mRNA	529.189
mRNA	0
mRNA	4.5793
mRNA	0
mRNA	0
mRNA	609.246
mRNA	10.4218
mRNA	316.126
mRNA	0.312
mRNA	0
mRNA	170.619
mRNA	326.665
mRNA	16.6691
mRNA	173.347
mRNA	3.8522
mRNA	30.6177
mRNA	109.808
mRNA	1568.39
mRNA	5.4885
mRNA	1328.91
mRNA	0.8006
mRNA	1052.49
mRNA	340.601
mRNA	77.3371
mRNA	1096.2
mRNA	1518.09
mRNA	22.4261
mRNA	158.436
mRNA	0
mRNA	17.6386
mRNA	6.2174
mRNA	56.5916
mRNA	1174.89
mRNA	441.932
mRNA	1.6834
mRNA	1103.45
mRNA	0.5447
mRNA	0
mRNA	893.074
mRNA	299.488
mRNA	0
mRNA	10.2623
mRNA	606.857
mRNA	63.9606
mRNA	0
mRNA	31.171
mRNA	0.6631
mRNA	1366.59
mRNA	13755.1
mRNA	1383.69
mRNA	802.922
mRNA	79.327
mRNA	29.9145
mRNA	0.6452
mRNA	3.8388
mRNA	2.963
mRNA	532.378
mRNA	595.506
mRNA	0
mRNA	1109.52
mRNA	1067.22
mRNA	752.433
mRNA	834.463
mRNA	8.879
mRNA	227.003
mRNA	1574.71
mRNA	772.493999999999
mRNA	123.852
mRNA	1812.79
mRNA	413.555
mRNA	126.465
mRNA	732.117
mRNA	1.5824
mRNA	946.053
mRNA	349.102
mRNA	5.8063
mRNA	407.645
mRNA	589.462
mRNA	986.093999999999
mRNA	1376.15
mRNA	1539.98
mRNA	68.6941
mRNA	2680.53
mRNA	210.309
mRNA	0
mRNA	218.205
mRNA	277.046
mRNA	1818.63
mRNA	1748.57
mRNA	29.3132
mRNA	1788.06
mRNA	0
mRNA	85.9623
mRNA	5.184
mRNA	2276.05
mRNA	592.686
mRNA	25.0522
mRNA	901.62
mRNA	838.535
mRNA	0.3391
mRNA	3687.49
mRNA	0.3655
mRNA	83.0884
mRNA	7.5758
mRNA	92.7543
mRNA	0
mRNA	3.6049
mRNA	226.747
mRNA	664.625
mRNA	1085.25
mRNA	66.3251
mRNA	6475.75
mRNA	2.8342
mRNA	2204.45
mRNA	5.9682
mRNA	686.705
mRNA	530.259
mRNA	0
mRNA	74.5891
mRNA	3058.57
mRNA	0
mRNA	2873.79
mRNA	6.0652
mRNA	857.748
mRNA	1064.13
mRNA	2871.08
mRNA	1472.36
mRNA	25.3461
mRNA	1124.36
