batch_variable	batch_value	LUAD	LUSC	total	dominant_subtype	dominant_fraction	only_one_subtype
TCGA_TSS	85	0	41	41	LUSC	1	TRUE
TCGA_TSS	44	33	0	33	LUAD	1	TRUE
TCGA_TSS	86	31	0	31	LUAD	1	TRUE
TCGA_TSS	50	29	0	29	LUAD	1	TRUE
TCGA_TSS	78	28	0	28	LUAD	1	TRUE
TCGA_TSS	77	0	22	22	LUSC	1	TRUE
TCGA_TSS	55	21	0	21	LUAD	1	TRUE
TCGA_TSS	49	20	0	20	LUAD	1	TRUE
TCGA_TSS	63	0	20	20	LUSC	1	TRUE
TCGA_TSS	MP	18	0	18	LUAD	1	TRUE
TCGA_TSS	22	0	17	17	LUSC	1	TRUE
TCGA_TSS	91	16	0	16	LUAD	1	TRUE
TCGA_TSS	39	0	15	15	LUSC	1	TRUE
TCGA_TSS	34	0	14	14	LUSC	1	TRUE
TCGA_TSS	NC	0	14	14	LUSC	1	TRUE
TCGA_TSS	97	13	0	13	LUAD	1	TRUE
TCGA_TSS	43	0	12	12	LUSC	1	TRUE
TCGA_TSS	75	12	0	12	LUAD	1	TRUE
TCGA_TSS	33	0	11	11	LUSC	1	TRUE
TCGA_TSS	56	0	11	11	LUSC	1	TRUE
TCGA_TSS	05	10	0	10	LUAD	1	TRUE
TCGA_TSS	58	0	10	10	LUSC	1	TRUE
TCGA_TSS	62	9	0	9	LUAD	1	TRUE
TCGA_TSS	94	0	9	9	LUSC	1	TRUE
TCGA_TSS	95	9	0	9	LUAD	1	TRUE
TCGA_TSS	98	0	8	8	LUSC	1	TRUE
TCGA_TSS	64	7	0	7	LUAD	1	TRUE
TCGA_TSS	69	7	0	7	LUAD	1	TRUE
TCGA_TSS	90	0	7	7	LUSC	1	TRUE
TCGA_TSS	L9	7	0	7	LUAD	1	TRUE
TCGA_TSS	NJ	7	0	7	LUAD	1	TRUE
TCGA_TSS	73	5	0	5	LUAD	1	TRUE
TCGA_TSS	93	5	0	5	LUAD	1	TRUE
TCGA_TSS	21	0	4	4	LUSC	1	TRUE
TCGA_TSS	53	4	0	4	LUAD	1	TRUE
TCGA_TSS	60	0	4	4	LUSC	1	TRUE
TCGA_TSS	68	0	4	4	LUSC	1	TRUE
TCGA_TSS	J2	4	0	4	LUAD	1	TRUE
TCGA_TSS	O2	0	4	4	LUSC	1	TRUE
TCGA_TSS	37	0	3	3	LUSC	1	TRUE
TCGA_TSS	52	0	3	3	LUSC	1	TRUE
