layer	model	actual	predicted	n
mRNA	Elastic Net	LUAD	LUAD	307
mRNA	Elastic Net	LUAD	LUSC	9
mRNA	Elastic Net	LUSC	LUAD	19
mRNA	Elastic Net	LUSC	LUSC	232
mRNA	Random Forest	LUAD	LUAD	310
mRNA	Random Forest	LUAD	LUSC	6
mRNA	Random Forest	LUSC	LUAD	19
mRNA	Random Forest	LUSC	LUSC	232
DNA methylation	Elastic Net	LUAD	LUAD	312
DNA methylation	Elastic Net	LUAD	LUSC	4
DNA methylation	Elastic Net	LUSC	LUAD	19
DNA methylation	Elastic Net	LUSC	LUSC	232
DNA methylation	Random Forest	LUAD	LUAD	312
DNA methylation	Random Forest	LUAD	LUSC	4
DNA methylation	Random Forest	LUSC	LUAD	5
DNA methylation	Random Forest	LUSC	LUSC	246
RPPA	Elastic Net	LUAD	LUAD	305
RPPA	Elastic Net	LUAD	LUSC	11
RPPA	Elastic Net	LUSC	LUAD	24
RPPA	Elastic Net	LUSC	LUSC	227
RPPA	Random Forest	LUAD	LUAD	300
RPPA	Random Forest	LUAD	LUSC	16
RPPA	Random Forest	LUSC	LUAD	37
RPPA	Random Forest	LUSC	LUSC	214
