layer	model	feature	selected_in_folds	mean_abs_coefficient	mean_coefficient
DNA methylation	Elastic Net	HOXA3.19	5	0.1741513819337834	0.1741513819337834
DNA methylation	Elastic Net	INPP1.9	5	0.15773669258959683	-0.15773669258959683
DNA methylation	Elastic Net	SLC22A20.9	5	0.1557139310926832	-0.1557139310926832
DNA methylation	Elastic Net	GOLPH3.5	5	0.14691781700256742	0.14691781700256742
DNA methylation	Elastic Net	PREX1.11	5	0.14095076722864824	-0.14095076722864824
DNA methylation	Elastic Net	ARV1	5	0.14074391271842301	0.14074391271842301
DNA methylation	Elastic Net	HOXA3.69	5	0.11047000196535095	0.11047000196535095
DNA methylation	Elastic Net	PTHLH.15	5	0.11024523264425579	-0.11024523264425579
DNA methylation	Elastic Net	feature_101660	5	0.10713275868814798	0.10713275868814798
DNA methylation	Elastic Net	HOXA3.55	5	0.09635372397983848	0.09635372397983848
DNA methylation	Elastic Net	SH3PXD2A.26	5	0.08457110954991039	-0.08457110954991039
DNA methylation	Elastic Net	DSC3.9	5	0.08377175823834247	-0.08377175823834247
DNA methylation	Elastic Net	TP73.88	5	0.07177528390735545	-0.07177528390735545
DNA methylation	Elastic Net	SPRR2D.3	5	0.06801154643144507	0.06801154643144507
DNA methylation	Elastic Net	feature_32280	5	0.06717857850401994	-0.06717857850401994
DNA methylation	Elastic Net	TP73.68	5	0.06507583069174329	-0.06507583069174329
DNA methylation	Elastic Net	ITPRIP.20	5	0.0512449513970718	-0.0512449513970718
DNA methylation	Elastic Net	SOX7.14	4	0.3459458179681495	-0.3459458179681495
DNA methylation	Elastic Net	SYT10.4	4	0.16361999589356077	-0.16361999589356077
DNA methylation	Elastic Net	feature_192674	4	0.09530243291039055	0.09530243291039055
DNA methylation	Elastic Net	PLEKHA6.5	4	0.09380345869807462	-0.09380345869807462
DNA methylation	Elastic Net	feature_59315	4	0.07363253671599039	0.07363253671599039
DNA methylation	Elastic Net	DIRC3.41	4	0.07123671826591355	-0.07123671826591355
DNA methylation	Elastic Net	SFRS1.6	4	0.06767517025530487	-0.06767517025530487
DNA methylation	Elastic Net	ZMIZ1.40	4	0.053332491680385466	-0.053332491680385466
DNA methylation	Elastic Net	feature_4000	4	0.05330963715850502	-0.05330963715850502
DNA methylation	Elastic Net	SNX10.1	4	0.04693782975932513	0.04693782975932513
DNA methylation	Elastic Net	MIR205HG;MIR205.4	4	0.046149487382038445	-0.046149487382038445
DNA methylation	Elastic Net	CAMK2B.12	4	0.03392750453603922	0.03392750453603922
DNA methylation	Elastic Net	ACTN2.14	4	0.03377616082109248	-0.03377616082109248
DNA methylation	Elastic Net	ZIC1.41	3	0.21080141052142712	-0.21080141052142712
DNA methylation	Elastic Net	feature_353941	3	0.15579109574335087	0.15579109574335087
DNA methylation	Elastic Net	C20orf134;NECAB3.3	3	0.14679562364834847	-0.14679562364834847
DNA methylation	Elastic Net	GAL3ST2.12	3	0.14440087279730673	-0.14440087279730673
