feature_safe	coefficient	layer	model	outer_fold	abs_coefficient	feature_original
IRF6	1.85512159644632e-4	mRNA	Elastic net	1	1.85512159644632e-4	IRF6
RBM47	-1.8269075699273336e-4	mRNA	Elastic net	1	1.8269075699273336e-4	RBM47
ALPK3	-1.3578117397516345e-4	mRNA	Elastic net	1	1.3578117397516345e-4	ALPK3
LIMK2	1.332579003328717e-4	mRNA	Elastic net	1	1.332579003328717e-4	LIMK2
MCC	1.2165707034500493e-4	mRNA	Elastic net	1	1.2165707034500493e-4	MCC
ICA1	-1.2061770387156353e-4	mRNA	Elastic net	1	1.2061770387156353e-4	ICA1
C3orf37	1.1700973209132786e-4	mRNA	Elastic net	1	1.1700973209132786e-4	C3orf37
USP31	1.106640396571044e-4	mRNA	Elastic net	1	1.106640396571044e-4	USP31
ENPP4	-8.92625419905026e-5	mRNA	Elastic net	1	8.92625419905026e-5	ENPP4
ANTXR2	-8.391226523731444e-5	mRNA	Elastic net	1	8.391226523731444e-5	ANTXR2
CD2AP	-7.934490640321438e-5	mRNA	Elastic net	1	7.934490640321438e-5	CD2AP
TMEM63A	-6.878136905029959e-5	mRNA	Elastic net	1	6.878136905029959e-5	TMEM63A
TJP3	-6.824188235753919e-5	mRNA	Elastic net	1	6.824188235753919e-5	TJP3
CTBP2	-6.182222096127207e-5	mRNA	Elastic net	1	6.182222096127207e-5	CTBP2
WTAP	5.9755578203321396e-5	mRNA	Elastic net	1	5.9755578203321396e-5	WTAP
PRC1	5.943875322773963e-5	mRNA	Elastic net	1	5.943875322773963e-5	PRC1
NKX2.1	-5.8334323072981515e-5	mRNA	Elastic net	1	5.8334323072981515e-5	NKX2-1
SAE1	5.831327186353308e-5	mRNA	Elastic net	1	5.831327186353308e-5	SAE1
NEK6	-5.813203957345926e-5	mRNA	Elastic net	1	5.813203957345926e-5	NEK6
TMEM189	5.6475074344449085e-5	mRNA	Elastic net	1	5.6475074344449085e-5	TMEM189
MACC1	-5.3543260222559374e-5	mRNA	Elastic net	1	5.3543260222559374e-5	MACC1
CSK	5.2855418536365594e-5	mRNA	Elastic net	1	5.2855418536365594e-5	CSK
RHOU	-5.2273445939516283e-05	mRNA	Elastic net	1	5.2273445939516283e-05	RHOU
DGKA	4.829028440347725e-5	mRNA	Elastic net	1	4.829028440347725e-5	DGKA
SH3BP1	4.5224111372486624e-5	mRNA	Elastic net	1	4.5224111372486624e-5	SH3BP1
FYTTD1	4.456790495306197e-5	mRNA	Elastic net	1	4.456790495306197e-5	FYTTD1
MT1X	4.426124237044452e-5	mRNA	Elastic net	1	4.426124237044452e-5	MT1X
PLEKHA6	-4.316246665875187e-5	mRNA	Elastic net	1	4.316246665875187e-5	PLEKHA6
PRMT1	4.235313961958247e-5	mRNA	Elastic net	1	4.235313961958247e-5	PRMT1
TLE2	-4.186516310523784e-5	mRNA	Elastic net	1	4.186516310523784e-5	TLE2
DDAH1	-4.124831266846667e-5	mRNA	Elastic net	1	4.124831266846667e-5	DDAH1
PHC2	-4.119670664575591e-5	mRNA	Elastic net	1	4.119670664575591e-5	PHC2
SYNCRIP	4.0508659658401226e-5	mRNA	Elastic net	1	4.0508659658401226e-5	SYNCRIP
TRA2B	3.926510351706916e-5	mRNA	Elastic net	1	3.926510351706916e-5	TRA2B
HS6ST1	3.730393311667534e-5	mRNA	Elastic net	1	3.730393311667534e-5	HS6ST1
KCTD15	3.677326867359371e-5	mRNA	Elastic net	1	3.677326867359371e-5	KCTD15
TMEM45B	-3.6084078787883805e-5	mRNA	Elastic net	1	3.6084078787883805e-5	TMEM45B
RANGAP1	3.471752984281013e-5	mRNA	Elastic net	1	3.471752984281013e-5	RANGAP1
VANGL2	3.216660226800524e-5	mRNA	Elastic net	1	3.216660226800524e-5	VANGL2
