feature	coefficient	abs_coefficient	layer	model	fold
IRF6	0.30775212984970474	0.30775212984970474	mRNA	Elastic Net	1
RBM47	-0.2496180988196757	0.2496180988196757	mRNA	Elastic Net	1
LIMK2	0.16116982107453295	0.16116982107453295	mRNA	Elastic Net	1
NKX2-1	-0.12951112046378668	0.12951112046378668	mRNA	Elastic Net	1
ALPK3	-0.12882873931166602	0.12882873931166602	mRNA	Elastic Net	1
PVRL1	0.10519172084890828	0.10519172084890828	mRNA	Elastic Net	1
AP2M1	0.102142223006148	0.102142223006148	mRNA	Elastic Net	1
CD2AP	-0.10005757855874257	0.10005757855874257	mRNA	Elastic Net	1
C3orf37	0.08636390960740509	0.08636390960740509	mRNA	Elastic Net	1
TRIM29	0.08236006897587375	0.08236006897587375	mRNA	Elastic Net	1
GOLM1	-0.08127528053103106	0.08127528053103106	mRNA	Elastic Net	1
HECA	0.08116598886053117	0.08116598886053117	mRNA	Elastic Net	1
TMEM63A	-0.07670377669069585	0.07670377669069585	mRNA	Elastic Net	1
ERBB3	-0.07571668726644987	0.07571668726644987	mRNA	Elastic Net	1
MCC	0.07325634855817333	0.07325634855817333	mRNA	Elastic Net	1
TMEM189	0.07161830091887195	0.07161830091887195	mRNA	Elastic Net	1
NRP1	-0.06974181915720884	0.06974181915720884	mRNA	Elastic Net	1
ANTXR2	-0.069638319165684	0.069638319165684	mRNA	Elastic Net	1
ICA1	-0.06783422321443254	0.06783422321443254	mRNA	Elastic Net	1
DDAH1	-0.06268962855507329	0.06268962855507329	mRNA	Elastic Net	1
MT1X	0.0620544965304508	0.0620544965304508	mRNA	Elastic Net	1
CGN	-0.061011231276528334	0.061011231276528334	mRNA	Elastic Net	1
RANGAP1	0.059987351150284925	0.059987351150284925	mRNA	Elastic Net	1
PRMT1	0.05972543126848783	0.05972543126848783	mRNA	Elastic Net	1
SAE1	0.059635095712055386	0.059635095712055386	mRNA	Elastic Net	1
MACC1	-0.05884640974338493	0.05884640974338493	mRNA	Elastic Net	1
ENPP4	-0.056366215883990725	0.056366215883990725	mRNA	Elastic Net	1
PRC1	0.056140459420453474	0.056140459420453474	mRNA	Elastic Net	1
TRA2B	0.056055845070343294	0.056055845070343294	mRNA	Elastic Net	1
FYTTD1	0.05180807258191468	0.05180807258191468	mRNA	Elastic Net	1
PHC2	-0.051343579634745014	0.051343579634745014	mRNA	Elastic Net	1
RHOU	-0.048885387279452464	0.048885387279452464	mRNA	Elastic Net	1
ATP2C1	0.04800350429894241	0.04800350429894241	mRNA	Elastic Net	1
PERP	0.04756258430144135	0.04756258430144135	mRNA	Elastic Net	1
SYNCRIP	0.047108200217393224	0.047108200217393224	mRNA	Elastic Net	1
VANGL2	0.04605284081933546	0.04605284081933546	mRNA	Elastic Net	1
TMC5	-0.044922692292617604	0.044922692292617604	mRNA	Elastic Net	1
TJP3	-0.04328170829548476	0.04328170829548476	mRNA	Elastic Net	1
HS6ST1	0.04311421520115161	0.04311421520115161	mRNA	Elastic Net	1
DGKA	0.042669831697706884	0.042669831697706884	mRNA	Elastic Net	1
