layer	feature_safe	feature_original
mRNA	SFTPB	SFTPB
mRNA	ADAM6	ADAM6
mRNA	SFTPA2	SFTPA2
mRNA	PGC	PGC
mRNA	FN1	FN1
mRNA	KRT5	KRT5
mRNA	COL1A1	COL1A1
mRNA	BMS1P20	BMS1P20
mRNA	H19	H19
mRNA	GAPDH	GAPDH
mRNA	KRT6A	KRT6A
mRNA	FTL	FTL
mRNA	COL3A1	COL3A1
mRNA	KRT17	KRT17
mRNA	CD74	CD74
mRNA	SFTPA1	SFTPA1
mRNA	COL1A2	COL1A2
mRNA	SCGB3A1	SCGB3A1
mRNA	IGF2	IGF2
mRNA	SFTPC	SFTPC
mRNA	ALB	ALB
mRNA	MUC5B	MUC5B
mRNA	ACTB	ACTB
mRNA	GPNMB	GPNMB
mRNA	S100A9	S100A9
mRNA	KRT14	KRT14
mRNA	B2M	B2M
mRNA	CEACAM6	CEACAM6
mRNA	PLUNC	PLUNC
mRNA	CEACAM5	CEACAM5
mRNA	FGG	FGG
mRNA	TPT1	TPT1
mRNA	SLC34A2	SLC34A2
mRNA	FGA	FGA
mRNA	CD24	CD24
mRNA	EEF1A1	EEF1A1
mRNA	SERPINA1	SERPINA1
mRNA	NAPSA	NAPSA
mRNA	HLA.B	HLA-B
mRNA	KRT13	KRT13
mRNA	NDRG1	NDRG1
mRNA	ACTG1	ACTG1
mRNA	CPM	CPM
mRNA	TMSL3	TMSL3
mRNA	PIGR	PIGR
mRNA	CALCA	CALCA
mRNA	AKR1C1	AKR1C1
mRNA	FTH1	FTH1
mRNA	KRT16	KRT16
mRNA	KRT15	KRT15
mRNA	S100A6	S100A6
mRNA	HLA.DRA	HLA-DRA
mRNA	KRT19	KRT19
mRNA	SPARC	SPARC
mRNA	C3	C3
mRNA	CTSB	CTSB
mRNA	CTSD	CTSD
mRNA	S100A8	S100A8
mRNA	FGB	FGB
mRNA	SPP1	SPP1
mRNA	HLA.A	HLA-A
mRNA	RPS18	RPS18
mRNA	RPL8	RPL8
mRNA	CES1	CES1
mRNA	KRT6B	KRT6B
mRNA	NTS	NTS
mRNA	RPS6	RPS6
mRNA	SCGB3A2	SCGB3A2
mRNA	ENO1	ENO1
mRNA	LUM	LUM
mRNA	PABPC1	PABPC1
mRNA	AKR1C2	AKR1C2
mRNA	ERBB2	ERBB2
mRNA	HLA.C	HLA-C
mRNA	PSAP	PSAP
mRNA	EEF2	EEF2
mRNA	A2M	A2M
mRNA	PERP	PERP
mRNA	SLPI	SLPI
mRNA	MSLN	MSLN
mRNA	S100A2	S100A2
mRNA	IGFBP3	IGFBP3
mRNA	LYZ	LYZ
mRNA	ALDOA	ALDOA
mRNA	LAMP1	LAMP1
mRNA	AQP1	AQP1
mRNA	KRT8	KRT8
mRNA	PKM2	PKM2
mRNA	IGFBP5	IGFBP5
mRNA	MUC1	MUC1
mRNA	DSP	DSP
mRNA	LAMC2	LAMC2
mRNA	IGFBP2	IGFBP2
mRNA	PKP1	PKP1
mRNA	TMSB10	TMSB10
mRNA	SLC2A1	SLC2A1
mRNA	COL6A3	COL6A3
mRNA	LPCAT1	LPCAT1
mRNA	HSPB1	HSPB1
mRNA	FLNA	FLNA
mRNA	TFRC	TFRC
mRNA	CLU	CLU
mRNA	AHNAK	AHNAK
mRNA	HSP90AB1	HSP90AB1
mRNA	RPLP1	RPLP1
mRNA	MYH9	MYH9
mRNA	VIM	VIM
mRNA	RPLP0	RPLP0
