layer	model	fold	n_features_used	lambda	ROC_AUC	accuracy	balanced_accuracy	F1_LUAD	F1_LUSC	macro_F1	sensitivity_LUSC	specificity_LUAD	mtry	num_trees
mRNA	Elastic Net	1	5000	0.07300201884430808	0.9816176470588235	0.9130434782608695	0.9059436274509804	0.9253731343283582	0.8958333333333333	0.9106032338308457	0.8431372549019608	0.96875	NA	NA
mRNA	Random Forest	1	2000	NA	0.9764093137254902	0.9217391304347826	0.9157475490196079	0.9323308270676692	0.9072164948453608	0.919773660956515	0.8627450980392157	0.96875	44	500
mRNA	Elastic Net	2	5000	0.027823702735369882	0.9933333333333333	0.9557522123893806	0.9541269841269842	0.9606299212598425	0.9494949494949495	0.955062435377396	0.94	0.9682539682539683	NA	NA
mRNA	Random Forest	2	2000	NA	0.9926984126984126	0.9734513274336283	0.9720634920634921	0.9763779527559054	0.9696969696969697	0.9730374612264376	0.96	0.9841269841269841	44	500
mRNA	Elastic Net	3	5000	0.007937140431413947	0.9825396825396825	0.9646017699115044	0.9641269841269842	0.9682539682539683	0.96	0.9641269841269842	0.96	0.9682539682539683	NA	NA
mRNA	Random Forest	3	2000	NA	0.9844444444444445	0.9646017699115044	0.9641269841269842	0.9682539682539683	0.96	0.9641269841269842	0.96	0.9682539682539683	44	500
mRNA	Elastic Net	4	5000	0.0233678962109359	0.9977777777777778	0.9557522123893806	0.9541269841269842	0.9606299212598425	0.9494949494949495	0.955062435377396	0.94	0.9682539682539683	NA	NA
mRNA	Random Forest	4	2000	NA	0.9968253968253968	0.9469026548672567	0.942063492063492	0.9538461538461538	0.9375	0.9456730769230769	0.9	0.9841269841269841	44	500
mRNA	Elastic Net	5	5000	0.08181377668255861	0.9958730158730159	0.9646017699115044	0.9620634920634921	0.96875	0.9591836734693877	0.9639668367346939	0.94	0.9841269841269841	NA	NA
mRNA	Random Forest	5	2000	NA	0.9952380952380953	0.9734513274336283	0.97	0.9767441860465117	0.9690721649484536	0.9729081754974827	0.94	1	44	500
DNA methylation	Elastic Net	1	10000	0.05535562867385533	0.9580269607843137	0.9304347826086956	0.9255514705882353	0.9393939393939394	0.9183673469387754	0.9288806431663574	0.8823529411764706	0.96875	NA	NA
DNA methylation	Random Forest	1	3000	NA	0.9941789215686274	0.9652173913043478	0.9647671568627452	0.96875	0.9607843137254902	0.9647671568627452	0.9607843137254902	0.96875	54	500
DNA methylation	Elastic Net	2	10000	0.008048972443343828	0.9996825396825397	0.9823008849557522	0.98	0.9843749999999999	0.9795918367346939	0.9819834183673468	0.96	1	NA	NA
DNA methylation	Random Forest	2	3000	NA	1	1	1	1	1	1	1	1	54	500
DNA methylation	Elastic Net	3	10000	0.010890414300119368	0.9888888888888889	0.9469026548672567	0.9441269841269841	0.953125	0.9387755102040817	0.9459502551020409	0.92	0.9682539682539683	NA	NA
DNA methylation	Random Forest	3	3000	NA	0.9936507936507937	0.9823008849557522	0.9820634920634921	0.9841269841269841	0.98	0.9820634920634921	0.98	0.9841269841269841	54	500
DNA methylation	Elastic Net	4	10000	0.00909676107499107	0.9892063492063492	0.9557522123893806	0.95	0.9618320610687023	0.9473684210526316	0.954600241060667	0.9	1	NA	NA
DNA methylation	Random Forest	4	3000	NA	0.9993650793650793	0.9823008849557522	0.9820634920634921	0.9841269841269841	0.98	0.9820634920634921	0.98	0.9841269841269841	54	500
DNA methylation	Elastic Net	5	10000	0.06870052601231548	0.9892063492063492	0.9823008849557522	0.98	0.9843749999999999	0.9795918367346939	0.9819834183673468	0.96	1	NA	NA
DNA methylation	Random Forest	5	3000	NA	1	0.9911504424778761	0.99	0.9921259842519685	0.98989898989899	0.9910124870754793	0.98	1	54	500
RPPA	Elastic Net	1	189	0.010565748445907568	0.961703431372549	0.9130434782608695	0.9079350490196079	0.9242424242424244	0.8979591836734694	0.9111008039579469	0.8627450980392157	0.953125	NA	NA
RPPA	Random Forest	1	189	NA	0.9371936274509804	0.8434782608695652	0.8334865196078431	0.8676470588235294	0.8085106382978724	0.8380788485607009	0.7450980392156863	0.921875	13	500
RPPA	Elastic Net	2	189	0.01376293296188621	0.9907936507936508	0.9734513274336283	0.9720634920634921	0.9763779527559054	0.9696969696969697	0.9730374612264376	0.96	0.9841269841269841	NA	NA
RPPA	Random Forest	2	189	NA	0.993968253968254	0.9646017699115044	0.9661904761904762	0.9677419354838709	0.9607843137254902	0.9642631246046806	0.98	0.9523809523809523	13	500
RPPA	Elastic Net	3	189	0.004083137808834687	0.9596825396825397	0.9203539823008849	0.9182539682539683	0.9291338582677166	0.9090909090909091	0.9191123836793128	0.9	0.9365079365079365	NA	NA
RPPA	Random Forest	3	189	NA	0.9447619047619047	0.8761061946902655	0.8703174603174603	0.8923076923076922	0.8541666666666666	0.8732371794871794	0.82	0.9206349206349206	13	500
RPPA	Elastic Net	4	189	0.008446164118600767	0.9904761904761905	0.9469026548672567	0.942063492063492	0.9538461538461538	0.9375	0.9456730769230769	0.9	0.9841269841269841	NA	NA
RPPA	Random Forest	4	189	NA	0.9723809523809523	0.911504424778761	0.902063492063492	0.9253731343283582	0.8913043478260869	0.9083387410772226	0.82	0.9841269841269841	13	500
RPPA	Elastic Net	5	189	0.008864151429218689	0.9688888888888889	0.9380530973451328	0.9341269841269841	0.9457364341085271	0.9278350515463918	0.9367857428274595	0.9	0.9682539682539683	NA	NA
RPPA	Random Forest	5	189	NA	0.9847619047619047	0.9380530973451328	0.9341269841269841	0.9457364341085271	0.9278350515463918	0.9367857428274595	0.9	0.9682539682539683	13	500
