layer	model	feature	selected_in_folds	mean_importance
DNA methylation	Random Forest	MICALL2.15	5	3.737265481689772
DNA methylation	Random Forest	DCPS.9	1	3.4699925339694992
DNA methylation	Random Forest	feature_58817	5	3.319104052904379
DNA methylation	Random Forest	GCET2.3	1	3.2918391169419374
DNA methylation	Random Forest	DSC3.13	1	3.079040561269822
DNA methylation	Random Forest	feature_133349	4	2.964525983872908
DNA methylation	Random Forest	ZHX2	5	2.951157843243983
DNA methylation	Random Forest	HN1.10	4	2.9375429682993466
DNA methylation	Random Forest	PRKAR1B.114	5	2.848902128386264
DNA methylation	Random Forest	feature_78823	2	2.796996988938003
DNA methylation	Random Forest	RTP1.8	5	2.6247241905013734
DNA methylation	Random Forest	TPM3;NUP210L	5	2.512129261232963
DNA methylation	Random Forest	TBCD.110	5	2.44759886722099
DNA methylation	Random Forest	CUGBP2.39	5	2.414551603384157
DNA methylation	Random Forest	GCET2.6	3	2.3785400570693636
DNA methylation	Random Forest	RIMS2.23	4	2.311566018291573
DNA methylation	Random Forest	CUGBP2.75	4	2.267037980469498
DNA methylation	Random Forest	feature_182338	5	2.25326104917126
DNA methylation	Random Forest	feature_67285	5	2.249838232074675
DNA methylation	Random Forest	feature_286684	5	2.244219147876081
DNA methylation	Random Forest	LIMA1.17	5	2.1975209464094925
DNA methylation	Random Forest	UTRN.13	5	2.1906228869902673
DNA methylation	Random Forest	KCNK7.1	3	2.1811259952641464
DNA methylation	Random Forest	SLC2A5.7	5	2.160949414456618
DNA methylation	Random Forest	CCM2	1	2.1600803857850215
DNA methylation	Random Forest	feature_23127	5	2.151278137814841
DNA methylation	Random Forest	ZHX2.39	5	2.0796708981743484
DNA methylation	Random Forest	TP73.68	5	2.063007731238954
DNA methylation	Random Forest	feature_4000	1	2.0562702548498795
DNA methylation	Random Forest	PAK1.6	3	2.022118132899599
DNA methylation	Random Forest	CARD14.14	5	2.0117895003375725
DNA methylation	Random Forest	ITPRIP.20	5	1.9517684106497715
DNA methylation	Random Forest	SPSB1.7	4	1.945735704256423
DNA methylation	Random Forest	RNMTL1	5	1.912331645122821
DNA methylation	Random Forest	MYLK.1	5	1.9015509606195395
DNA methylation	Random Forest	RNMTL1.7	5	1.8817290006160083
DNA methylation	Random Forest	feature_265572	4	1.8794565829892669
DNA methylation	Random Forest	TTC12.8	5	1.8793955010826517
DNA methylation	Random Forest	feature_24181	1	1.8650443554818126
DNA methylation	Random Forest	ZNRF2.6	5	1.7974421403817082
DNA methylation	Random Forest	TP63.5	5	1.7969004332589518
DNA methylation	Random Forest	ZNF750;TBCD.17	5	1.7760607174765917
DNA methylation	Random Forest	SPSB1.35	5	1.7619870768897041
DNA methylation	Random Forest	TPM3.9	3	1.7430273607942581
DNA methylation	Random Forest	PHF8.7	2	1.730538334810245
DNA methylation	Random Forest	feature_282548	3	1.6634511657733466
DNA methylation	Random Forest	MIR205HG.2	5	1.6487191384219282
DNA methylation	Random Forest	ITPRIP.13	5	1.6316809471039089
DNA methylation	Random Forest	C3orf34	4	1.6122291994119953
DNA methylation	Random Forest	TP73.88	4	1.601385310172321
DNA methylation	Random Forest	feature_322103	3	1.5690615116742028
DNA methylation	Random Forest	CSNK1D.5	2	1.5453206951910166
DNA methylation	Random Forest	GLI3.64	5	1.5394845310300926
DNA methylation	Random Forest	FOXK1.53	5	1.5270277881793302
DNA methylation	Random Forest	PTPN14.35	3	1.5044486103837003
DNA methylation	Random Forest	TSNARE1.105	3	1.4059697890625245
DNA methylation	Random Forest	NUP210L.3	2	1.3920236245054287
DNA methylation	Random Forest	EFNB1.26	3	1.3604575987361478
DNA methylation	Random Forest	CUGBP2.74	4	1.360200037675516
DNA methylation	Random Forest	feature_362612	3	1.3362589260398163
DNA methylation	Random Forest	COL5A2.3	1	1.326658645644432
DNA methylation	Random Forest	LAMA5.15	5	1.31955793775014
DNA methylation	Random Forest	ST18.16	5	1.3177271205427548
DNA methylation	Random Forest	feature_312266	3	1.3130601744855477
DNA methylation	Random Forest	DEAF1.18	5	1.3118114238792673
DNA methylation	Random Forest	ACAP2	5	1.2940249257332452
DNA methylation	Random Forest	GRASP	3	1.2397114748591043
DNA methylation	Random Forest	RIMS2.20	4	1.2128352184833695
DNA methylation	Random Forest	feature_200433	1	1.206814913090034
DNA methylation	Random Forest	ZBTB20.57	2	1.197663660417206
DNA methylation	Random Forest	feature_283246	4	1.1810495867489244
DNA methylation	Random Forest	feature_167573	4	1.1768456743172744
DNA methylation	Random Forest	RNMTL1.5	3	1.1630299459897877
DNA methylation	Random Forest	WWOX.14	2	1.1490180504753598
DNA methylation	Random Forest	CALML3.5	4	1.1343515829499933
DNA methylation	Random Forest	MIR128-1;R3HDM1	5	1.1280459357297663
DNA methylation	Random Forest	feature_252930	3	1.1220264800320459
DNA methylation	Random Forest	RALGAPA2.8	4	1.1185741704058332
DNA methylation	Random Forest	FOXK1.44	1	1.102337649105413
DNA methylation	Random Forest	ACSL4.2	1	1.084618384102077
DNA methylation	Random Forest	BNC1.5	1	1.0842207933369203
DNA methylation	Random Forest	HOXA3.19	4	1.0814997630024958
DNA methylation	Random Forest	feature_187008	5	1.0793681112220388
DNA methylation	Random Forest	PRDM16.62	1	1.072134969887285
DNA methylation	Random Forest	AMMECR1.6	1	1.069523798228803
DNA methylation	Random Forest	TACC1.8	3	1.065955705093389
DNA methylation	Random Forest	RUNX3.1	2	1.0605921309065822
DNA methylation	Random Forest	KCTD1.34	3	1.0578546415818897
DNA methylation	Random Forest	EBF1.13	3	1.0318055921943843
DNA methylation	Random Forest	PRICKLE3	3	1.025821012111778
DNA methylation	Random Forest	TP73.8	5	1.0233134016735221
DNA methylation	Random Forest	GRASP.1	3	1.0090747596222835
DNA methylation	Random Forest	feature_54795	5	1.0078016788220627
DNA methylation	Random Forest	DTNBP1.19	5	1.0012313488723956
DNA methylation	Random Forest	FOXK1.50	5	0.9885174712270897
DNA methylation	Random Forest	feature_89067	1	0.9853191598842079
DNA methylation	Random Forest	PRDX4.2	1	0.9590654551337545
DNA methylation	Random Forest	feature_321104	3	0.9522387770718773
DNA methylation	Random Forest	ZNF750;TBCD.27	5	0.9519136191093098
DNA methylation	Random Forest	CHST12.14	1	0.9501019234657984
DNA methylation	Random Forest	SLITRK3.22	1	0.9406299889099854
DNA methylation	Random Forest	XKR6.72	2	0.9364072859736499
DNA methylation	Random Forest	ACHE.1	1	0.9331817037373903
DNA methylation	Random Forest	feature_190519	1	0.9180537658631245
DNA methylation	Random Forest	ANKRD58	5	0.9016902664042402
DNA methylation	Random Forest	ZMYM3;BCYRN1.9	2	0.8999470519215893
DNA methylation	Random Forest	feature_75409	3	0.8985120967629809
DNA methylation	Random Forest	RUNX2.7	4	0.8881341877532316
DNA methylation	Random Forest	KRT7.19	1	0.883540181195591
DNA methylation	Random Forest	RAB40C.22	1	0.8774746433345022
DNA methylation	Random Forest	MECP2.14	2	0.8687608540766881
DNA methylation	Random Forest	LRCH3.13	2	0.8682525692679163
DNA methylation	Random Forest	FOXK1.49	3	0.8654980747617257
DNA methylation	Random Forest	GNL3L.4	1	0.8526551197411893
DNA methylation	Random Forest	feature_54023	3	0.8432598855964613
DNA methylation	Random Forest	KLF14.5	1	0.8429099146840724
DNA methylation	Random Forest	feature_380882	4	0.8393546601201485
DNA methylation	Random Forest	LRRC17;FBXL13.12	1	0.837008967817439
DNA methylation	Random Forest	TWIST1.21	1	0.8241730968043611
DNA methylation	Random Forest	feature_45787	1	0.8048144864653832
DNA methylation	Random Forest	WHAMM.5	2	0.8046181463786517
DNA methylation	Random Forest	feature_142090	1	0.7968989021670184
DNA methylation	Random Forest	feature_6911	1	0.7961365505566808
DNA methylation	Random Forest	CUGBP2.12	3	0.7931792446271678
DNA methylation	Random Forest	EFNB1.19	1	0.7912507429948703
DNA methylation	Random Forest	feature_97956	2	0.7899576680199698
DNA methylation	Random Forest	ATP6AP1.4	5	0.7786854875844355
DNA methylation	Random Forest	LPP.55	1	0.7713690076343281
DNA methylation	Random Forest	feature_347261	1	0.7654735551807053
DNA methylation	Random Forest	C14orf159.9	1	0.7558787992752906
DNA methylation	Random Forest	CXXC5.14	2	0.7521340068442766
DNA methylation	Random Forest	feature_396053	1	0.7391149753729714
DNA methylation	Random Forest	feature_341133	4	0.7384418793060596
DNA methylation	Random Forest	C20orf195.11	3	0.7338120824212335
DNA methylation	Random Forest	NGFRAP1.4	1	0.7310221702209538
DNA methylation	Random Forest	RAB40C.27	3	0.7276893852837912
DNA methylation	Random Forest	feature_217835	1	0.7190687003211874
DNA methylation	Random Forest	VWC2.6	1	0.7184231760979422
