feature	importance	layer	model	fold
CLCA2	5.302144847290778	mRNA	Random Forest	1
TP63	4.6465469345345385	mRNA	Random Forest	1
CSTA	4.307308880883281	mRNA	Random Forest	1
KRT31	4.209606036885907	mRNA	Random Forest	1
A2ML1	4.119033608950062	mRNA	Random Forest	1
PVRL1	4.075249141295472	mRNA	Random Forest	1
DSC3	4.028924402880036	mRNA	Random Forest	1
PERP	3.6146670804460874	mRNA	Random Forest	1
CALML3	3.560513293370264	mRNA	Random Forest	1
RBM47	3.490054991355443	mRNA	Random Forest	1
KRT5	3.479624324155578	mRNA	Random Forest	1
PKP1	3.241277797251374	mRNA	Random Forest	1
KRT14	3.171460940729345	mRNA	Random Forest	1
SERPINB13	3.0615181354573324	mRNA	Random Forest	1
DSG3	3.045786850955268	mRNA	Random Forest	1
SPRR2E	2.9721927558927703	mRNA	Random Forest	1
DAPL1	2.9431395133946157	mRNA	Random Forest	1
KRT13	2.8933942917249555	mRNA	Random Forest	1
JAG1	2.8223582803050276	mRNA	Random Forest	1
DDAH1	2.8158063200749552	mRNA	Random Forest	1
TRIM29	2.7996474261883275	mRNA	Random Forest	1
NKX2-1	2.7958619368749154	mRNA	Random Forest	1
GBP6	2.538172342070098	mRNA	Random Forest	1
KRT6A	2.4307001653246707	mRNA	Random Forest	1
DVL3	2.4139587855160154	mRNA	Random Forest	1
SFTA2	2.403683094575349	mRNA	Random Forest	1
ATP1B3	2.3785802515627257	mRNA	Random Forest	1
KRT6C	2.3669840623546037	mRNA	Random Forest	1
KRT6B	2.336264647564607	mRNA	Random Forest	1
FAT2	2.315045503690053	mRNA	Random Forest	1
SLC6A8	2.2563544352738036	mRNA	Random Forest	1
CELSR2	2.229312016984813	mRNA	Random Forest	1
IRF6	2.2160573704386186	mRNA	Random Forest	1
BMP7	2.1934367904841077	mRNA	Random Forest	1
DLG1	2.091390788366374	mRNA	Random Forest	1
COL7A1	2.0605600014666257	mRNA	Random Forest	1
SPRR2A	2.0535534161336146	mRNA	Random Forest	1
ACAP2	2.0344142178921087	mRNA	Random Forest	1
SLC9A3R2	1.9066320187853978	mRNA	Random Forest	1
SERPINB5	1.9048804435861173	mRNA	Random Forest	1
SFTA3	1.9032627800753399	mRNA	Random Forest	1
KRT16	1.8510148939218247	mRNA	Random Forest	1
ALDH3B1	1.802730344367816	mRNA	Random Forest	1
MLPH	1.5941685126904235	mRNA	Random Forest	1
FMO5	1.5661559602883008	mRNA	Random Forest	1
CGN	1.343389350672554	mRNA	Random Forest	1
NTRK2	1.3295892021653777	mRNA	Random Forest	1
MUC1	1.287935056995506	mRNA	Random Forest	1
YEATS2	1.218762176585009	mRNA	Random Forest	1
SLC44A4	1.208965823586607	mRNA	Random Forest	1
S100A2	1.130417203760944	mRNA	Random Forest	1
CRKL	1.1068013277417443	mRNA	Random Forest	1
LPIN2	1.1023749686947084	mRNA	Random Forest	1
ANXA8	1.0920655491429399	mRNA	Random Forest	1
GPC1	1.0697575602878069	mRNA	Random Forest	1
BICD2	1.0599793240706121	mRNA	Random Forest	1
ATP11A	1.0356428442013943	mRNA	Random Forest	1
KRT17	1.0300641759585254	mRNA	Random Forest	1
ATP11B	1.0061167759288374	mRNA	Random Forest	1
UGT1A7	1.0058265468171743	mRNA	Random Forest	1
TMC5	0.9969517245829065	mRNA	Random Forest	1
ACTL6A	0.9510368334003214	mRNA	Random Forest	1
KRT7	0.9435946304424979	mRNA	Random Forest	1
CEACAM6	0.8831425405772946	mRNA	Random Forest	1
RPS6KA2	0.8617413511400942	mRNA	Random Forest	1
TRA2B	0.8500894464383586	mRNA	Random Forest	1
S100A7	0.8382262179019392	mRNA	Random Forest	1
COL4A5	0.8225288407607693	mRNA	Random Forest	1
PSMD2	0.8167690847775232	mRNA	Random Forest	1
GOLM1	0.8101711017198808	mRNA	Random Forest	1
CLDN3	0.7972594524164777	mRNA	Random Forest	1
TFRC	0.7658956266508994	mRNA	Random Forest	1
SFN	0.7481257280538353	mRNA	Random Forest	1
PTPRZ1	0.7260594115530105	mRNA	Random Forest	1
ITGA6	0.691377647814234	mRNA	Random Forest	1
CPM	0.6756633530995584	mRNA	Random Forest	1
PREP	0.6630131069516023	mRNA	Random Forest	1
MUC21	0.630426244494081	mRNA	Random Forest	1
LIMCH1	0.604595891173735	mRNA	Random Forest	1
ADH7	0.585482804598035	mRNA	Random Forest	1
FZD6	0.5847875135547785	mRNA	Random Forest	1
CLCA4	0.5542507226437706	mRNA	Random Forest	1
MBIP	0.5257798539769087	mRNA	Random Forest	1
CD63	0.5179967825345488	mRNA	Random Forest	1
ERBB3	0.5087045397208794	mRNA	Random Forest	1
AP2M1	0.505719705789881	mRNA	Random Forest	1
