feature_safe	importance	layer	model	outer_fold	feature_original
IRF6	0.008783405731818125	mRNA	Random forest	1	IRF6
PVRL1	0.007857070563376636	mRNA	Random forest	1	PVRL1
MIR205HG	0.007668265238010722	mRNA	Random forest	1	MIR205HG
CSTA	0.007566411674456456	mRNA	Random forest	1	CSTA
KRT5	0.007077924553024448	mRNA	Random forest	1	KRT5
DSG3	0.006053234994171634	mRNA	Random forest	1	DSG3
DLX5	0.005942083708395691	mRNA	Random forest	1	DLX5
TP63	0.005920971636903849	mRNA	Random forest	1	TP63
DSC3	0.005767923875483116	mRNA	Random forest	1	DSC3
CALML3	0.005567547686717841	mRNA	Random forest	1	CALML3
FAT2	0.005158120605854539	mRNA	Random forest	1	FAT2
KRT6A	0.004528058439894478	mRNA	Random forest	1	KRT6A
BICD2	0.004507166208691704	mRNA	Random forest	1	BICD2
MLPH	0.0043853674704907655	mRNA	Random forest	1	MLPH
KRT31	0.004336172689257571	mRNA	Random forest	1	KRT31
PERP	0.004289502900182468	mRNA	Random forest	1	PERP
KRT14	0.004204512023586346	mRNA	Random forest	1	KRT14
GOLM1	0.00413388572529968	mRNA	Random forest	1	GOLM1
PKP1	0.00393403127786654	mRNA	Random forest	1	PKP1
DAPL1	0.003852295258936846	mRNA	Random forest	1	DAPL1
CLCA2	0.003821555453451119	mRNA	Random forest	1	CLCA2
KRT6B	0.00381040246023811	mRNA	Random forest	1	KRT6B
KRT6C	0.0037228090216953045	mRNA	Random forest	1	KRT6C
JAG1	0.0036978803256092273	mRNA	Random forest	1	JAG1
NKX2.1	0.003595073595018671	mRNA	Random forest	1	NKX2-1
KCNK5	0.003485850432561845	mRNA	Random forest	1	KCNK5
BNC1	0.0030761614142362586	mRNA	Random forest	1	BNC1
SERPINB13	0.00302235239238841	mRNA	Random forest	1	SERPINB13
SPRR2E	0.0028960789124919156	mRNA	Random forest	1	SPRR2E
SERPINB5	0.0028845013588741854	mRNA	Random forest	1	SERPINB5
TRIM29	0.0028095571636232632	mRNA	Random forest	1	TRIM29
SH3BP1	0.002734581625253058	mRNA	Random forest	1	SH3BP1
CELSR2	0.0027240014728373767	mRNA	Random forest	1	CELSR2
